,Lager,Stout,Non-Alcoholic
0,33 Export,Legend,Maltina
1,Desperados,Turbo King,Amstel Malta
2,Goldberg,Williams,Malts Gold
3,Gulder, ,Fayrouz
4,Heinken, , 
5,Star, , 
